Color ID, Red, Green, Blue, Red, Yellow, Yellow Ochre, Light Blue, Dark Blue, Sepia Brown, Burnt Umber, White
1,0.967,0.152,0.259,1,0,0,0,0,0,0,0
2,0.991,0.883,0.117,0,1,0,0,0,0,0,0
3,0.940,0.625,0.127,0,0,1,0,0,0,0,0
4,0.009,0.514,0.922,0,0,0,1,0,0,0,0
5,0.114,0.291,0.943,0,0,0,0,1,0,0,0
6,0.488,0.224,0.154,0,0,0,0,0,1,0,0
7,0.924,0.315,0.192,0,0,0,0,0,0,1,0
8,0.857,0.907,0.885,0.75,0.25,0,0,0,0,0,0
9,0.920,0.092,0.170,0.5,0.5,0,0,0,0,0,0
10,0.971,0.095,0.154,0.25,0.75,0,0,0,0,0,0
11,0.988,0.176,0.150,0.75,0,0.25,0,0,0,0,0
12,0.966,0.188,0.224,0.5,0,0.5,0,0,0,0,0
13,0.968,0.247,0.249,0.25,0,0.75,0,0,0,0,0
14,0.984,0.266,0.262,0.75,0,0,0.25,0,0,0,0
15,0.631,0.405,0.493,0.5,0,0,0.5,0,0,0,0
16,0.494,0.410,0.513,0.25,0,0,0.75,0,0,0,0
17,0.369,0.344,0.482,0.75,0,0,0,0.25,0,0,0
18,0.502,0.305,0.347,0.5,0,0,0,0.5,0,0,0
19,0.448,0.349,0.396,0.25,0,0,0,0.75,0,0,0
20,0.427,0.346,0.479,0.75,0,0,0,0,0.25,0,0
21,0.768,0.248,0.267,0.5,0,0,0,0,0.5,0,0
22,0.621,0.340,0.318,0.25,0,0,0,0,0.75,0,0
23,0.458,0.253,0.221,0.75,0,0,0,0,0,0.25,0
24,0.928,0.213,0.232,0.5,0,0,0,0,0,0.5,0
25,0.853,0.254,0.214,0.25,0,0,0,0,0,0.75,0
26,0.839,0.237,0.205,0.75,0,0,0,0,0,0,0.25
27,0.949,0.152,0.302,0.5,0,0,0,0,0,0,0.5
28,0.945,0.285,0.451,0.25,0,0,0,0,0,0,0.75
29,0.863,0.460,0.548,0,0.75,0.25,0,0,0,0,0
30,0.850,0.711,0.088,0,0.5,0.5,0,0,0,0,0
31,0.791,0.593,0.064,0,0.25,0.75,0,0,0,0,0
32,0.706,0.512,0.138,0,0.75,0,0.25,0,0,0,0
33,0.006,0.653,0.349,0,0.5,0,0.5,0,0,0,0
34,0.010,0.571,0.387,0,0.25,0,0.75,0,0,0,0
35,0.014,0.665,0.571,0,0.75,0,0.75,0.25,0,0,0
36,0.363,0.752,0.371,0,0.5,0,0,0.5,0,0,0
37,0.167,0.646,0.436,0,0.25,0,0,0.75,0,0,0
38,0.077,0.581,0.491,0,0.75,0,0,0,0.25,0,0
39,0.675,0.525,0.212,0,0.5,0,0,0,0.5,0,0
40,0.504,0.359,0.206,0,0.25,0,0,0,0.75,0,0
41,0.444,0.290,0.200,0,0.75,0,0,0,0,0.25,0
42,0.916,0.363,0.130,0,0.5,0,0,0,0,0.5,0
43,0.872,0.327,0.153,0,0.25,0,0,0,0,0.75,0
44,0.852,0.308,0.188,0,0.75,0,0,0,0,0,0.25
45,0.903,0.906,0.260,0,0.5,0,0,0,0,0,0.5
46,0.873,0.895,0.393,0,0.25,0,0,0,0,0,0.75
47,0.816,0.867,0.495,0,0,0.75,0.25,0,0,0,0
48,0.444,0.625,0.343,0,0,0.5,0.5,0,0,0,0
49,0.345,0.650,0.434,0,0,0.25,0.75,0,0,0,0
50,0.258,0.647,0.520,0,0,0.75,0,0.25,0,0,0
51,0.438,0.567,0.412,0,0,0.5,0,0.5,0,0,0
52,0.374,0.528,0.418,0,0,0.25,0,0.75,0,0,0
53,0.309,0.477,0.409,0,0,0.75,0,0,0.25,0,0
54,0.518,0.355,0.263,0,0,0.5,0,0,0.5,0,0
55,0.477,0.327,0.269,0,0,0.25,0,0,0.75,0,0
56,0.354,0.210,0.176,0,0,0.75,0,0,0,0.25,0
57,0.749,0.312,0.156,0,0,0.5,0,0,0,0.5,0
58,0.774,0.302,0.167,0,0,0.25,0,0,0,0.75,0
59,0.852,0.635,0.234,0,0,0.75,0,0,0,0,0.25
60,0.882,0.700,0.408,0,0,0.5,0,0,0,0,0.5
61,0.916,0.803,0.645,0,0,0.25,0,0,0,0,0.75
62,0.010,0.342,0.765,0,0,0,0.75,0.25,0,0,0
63,0.008,0.339,0.824,0,0,0,0.5,0.5,0,0,0
64,0.068,0.312,0.753,0,0,0,0.25,0.75,0,0,0
65,0.194,0.315,0.395,0,0,0,0.75,0,0.25,0,0
66,0.243,0.274,0.317,0,0,0,0.5,0,0.5,0,0
67,0.250,0.252,0.284,0,0,0,0.25,0,0.75,0,0
68,0.200,0.400,0.458,0,0,0,0.75,0,0,0.25,0
69,0.247,0.317,0.337,0,0,0,0.5,0,0,0.5,0
70,0.327,0.248,0.185,0,0,0,0.25,0,0,0.75,0
71,0.005,0.593,0.875,0,0,0,0.75,0,0,0,0.25
72,0.003,0.636,0.860,0,0,0,0.5,0,0,0,0.5
73,0.156,0.704,0.896,0,0,0,0.25,0,0,0,0.75
74,0.204,0.269,0.362,0,0,0,0,0.75,0.25,0,0
75,0.231,0.246,0.286,0,0,0,0,0.5,0.5,0,0
76,0.304,0.238,0.225,0,0,0,0,0.25,0.75,0,0
77,0.359,0.403,0.424,0,0,0,0,0.75,0,0.25,0
78,0.409,0.354,0.318,0,0,0,0,0.5,0,0.5,0
79,0.551,0.314,0.231,0,0,0,0,0.25,0,0.75,0
80,0.088,0.443,0.831,0,0,0,0,0.75,0,0,0.25
81,0.159,0.501,0.829,0,0,0,0,0.5,0,0,0.5
82,0.369,0.642,0.845,0,0,0,0,0.25,0,0,0.75
83,0.384,0.204,0.139,0,0,0,0,0,0.75,0.25,0
84,0.460,0.241,0.155,0,0,0,0,0,0.5,0.5,0
85,0.488,0.227,0.129,0,0,0,0,0,0.25,0.75,0
86,0.349,0.232,0.209,0,0,0,0,0,0.75,0,0.25
87,0.457,0.376,0.356,0,0,0,0,0,0.5,0,0.5
88,0.515,0.456,0.444,0,0,0,0,0,0.25,0,0.75
89,0.709,0.325,0.234,0,0,0,0,0,0,0.75,0.25
90,0.760,0.409,0.310,0,0,0,0,0,0,0.5,0.5
91,0.819,0.595,0.507,0,0,0,0,0,0,0.25,0.75
92,0.248,0.732,0.445,0,0.33,0,0.33,0,0,0,0.33
93,0.290,0.581,0.378,0,0.33,0,0,0.33,0,0,0.33
94,0.840,0.288,0.288,0.33,0.33,0,0,0,0,0,0.33
95,0.300,0.258,0.345,0.33,0,0,0.33,0,0,0,0.33